"gene","GO"
"LRP2","5. negative regulation of cellular process"
"LRP4","5. negative regulation of cellular process"
"LRP5","5. negative regulation of cellular process"
"LRP6","5. negative regulation of cellular process"
"LRPAP1","5. negative regulation of cellular process"
"LRPPRC","5. negative regulation of cellular process"
"LRRC14","5. negative regulation of cellular process"
"LRRC17","5. negative regulation of cellular process"
"LRRC32","5. negative regulation of cellular process"
"LRRFIP1","5. negative regulation of cellular process"
"LRRK1","5. negative regulation of cellular process"
"LRRK2","5. negative regulation of cellular process"
"LRRTM1","5. negative regulation of cellular process"
"LRRTM2","5. negative regulation of cellular process"
"LRSAM1","5. negative regulation of cellular process"
"LSM1","5. negative regulation of cellular process"
"LTA","5. negative regulation of cellular process"
"LTBP1","5. negative regulation of cellular process"
"LTBP3","5. negative regulation of cellular process"
"LTF","5. negative regulation of cellular process"
"LTK","5. negative regulation of cellular process"
"LXN","5. negative regulation of cellular process"
"LY6G6E","5. negative regulation of cellular process"
"LYAR","5. negative regulation of cellular process"
"LYN","5. negative regulation of cellular process"
"LYPLA1","5. negative regulation of cellular process"
"LYPLAL1","5. negative regulation of cellular process"
"LZTR1","5. negative regulation of cellular process"
"LZTS1","5. negative regulation of cellular process"
"LZTS2","5. negative regulation of cellular process"
"MACROH2A1","5. negative regulation of cellular process"
"MACROH2A2","5. negative regulation of cellular process"
"MAD1L1","5. negative regulation of cellular process"
"MAD2L1","5. negative regulation of cellular process"
"MAD2L1BP","5. negative regulation of cellular process"
"MAD2L2","5. negative regulation of cellular process"
"MADD","5. negative regulation of cellular process"
"MAEA","5. negative regulation of cellular process"
"MAEL","5. negative regulation of cellular process"
"MAF","5. negative regulation of cellular process"
"MAF1","5. negative regulation of cellular process"
"MAFB","5. negative regulation of cellular process"
"MAFK","5. negative regulation of cellular process"
"MAG","5. negative regulation of cellular process"
"MAGED1","5. negative regulation of cellular process"
"MAGEL2","5. negative regulation of cellular process"
"MAGI2","5. negative regulation of cellular process"
"MAK","5. negative regulation of cellular process"
"MALRD1","5. negative regulation of cellular process"
"MALSU1","5. negative regulation of cellular process"
"MAOB","5. negative regulation of cellular process"
"MAP1A","5. negative regulation of cellular process"
"MAP1B","5. negative regulation of cellular process"
"MAP2","5. negative regulation of cellular process"
"MAP2K1","5. negative regulation of cellular process"
"MAP2K4","5. negative regulation of cellular process"
"MAP2K5","5. negative regulation of cellular process"
"MAP3K3","5. negative regulation of cellular process"
"MAP3K7","5. negative regulation of cellular process"
"MAP3K10","5. negative regulation of cellular process"
"MAP3K12","5. negative regulation of cellular process"
"MAP3K20","5. negative regulation of cellular process"
"MAP4","5. negative regulation of cellular process"
"MAP4K4","5. negative regulation of cellular process"
"MAP6D1","5. negative regulation of cellular process"
"MAPK1","5. negative regulation of cellular process"
"MAPK7","5. negative regulation of cellular process"
"MAPK8","5. negative regulation of cellular process"
"MAPK8IP1","5. negative regulation of cellular process"
"MAPK8IP2","5. negative regulation of cellular process"
"MAPK11","5. negative regulation of cellular process"
"MAPK12","5. negative regulation of cellular process"
"MAPK14","5. negative regulation of cellular process"
"MAPK15","5. negative regulation of cellular process"
"MAPKAP1","5. negative regulation of cellular process"
"MAPKAPK2","5. negative regulation of cellular process"
"METTL21C","5. negative regulation of cellular process"
"MEX3D","5. negative regulation of cellular process"
"MFHAS1","5. negative regulation of cellular process"
"MFN1","5. negative regulation of cellular process"
"MFN2","5. negative regulation of cellular process"
"MGA","5. negative regulation of cellular process"
"MGAT3","5. negative regulation of cellular process"
"MGAT4D","5. negative regulation of cellular process"
"MGAT5","5. negative regulation of cellular process"
"MGLL","5. negative regulation of cellular process"
"MGMT","5. negative regulation of cellular process"
"MGRN1","5. negative regulation of cellular process"
"MIA3","5. negative regulation of cellular process"
"MIB1","5. negative regulation of cellular process"
"MICAL1","5. negative regulation of cellular process"
"MID1","5. negative regulation of cellular process"
"MID1IP1","5. negative regulation of cellular process"
"MIDN","5. negative regulation of cellular process"
"MIEN1","5. negative regulation of cellular process"
"MIER1","5. negative regulation of cellular process"
"MIER2","5. negative regulation of cellular process"
"MIER3","5. negative regulation of cellular process"
"MIF","5. negative regulation of cellular process"
"MIIP","5. negative regulation of cellular process"
"MILR1","5. negative regulation of cellular process"
"MINAR1","5. negative regulation of cellular process"
"MIR1A-1","5. negative regulation of cellular process"
"MIR1A-2","5. negative regulation of cellular process"
"MIR7-1","5. negative regulation of cellular process"
"MIR7B","5. negative regulation of cellular process"
"MIR17","5. negative regulation of cellular process"
"MIR18","5. negative regulation of cellular process"
"MIR18B","5. negative regulation of cellular process"
"MIR19B-1","5. negative regulation of cellular process"
"MIR19B-2","5. negative regulation of cellular process"
"MIR20A","5. negative regulation of cellular process"
"MIR20B","5. negative regulation of cellular process"
"MIR23A","5. negative regulation of cellular process"
"MIR25","5. negative regulation of cellular process"
"MIR26A-1","5. negative regulation of cellular process"
"MIR26A-2","5. negative regulation of cellular process"
"MIR26B","5. negative regulation of cellular process"
"MIR30C-1","5. negative regulation of cellular process"
"MIR30C-2","5. negative regulation of cellular process"
"MIR92-1","5. negative regulation of cellular process"
"MIR92-2","5. negative regulation of cellular process"
"MIR93","5. negative regulation of cellular process"
"MIR106A","5. negative regulation of cellular process"
"MIR106B","5. negative regulation of cellular process"
"MIR125A","5. negative regulation of cellular process"
"MIR129","5. negative regulation of cellular process"
"MIR133A-1","5. negative regulation of cellular process"
"MIR133A-2","5. negative regulation of cellular process"
"MIR133B","5. negative regulation of cellular process"
"MIR135A-1","5. negative regulation of cellular process"
"MIR137","5. negative regulation of cellular process"
"MIR143","5. negative regulation of cellular process"
"MIR154","5. negative regulation of cellular process"
"MIR199A-2","5. negative regulation of cellular process"
"MIR204","5. negative regulation of cellular process"
"MIR205","5. negative regulation of cellular process"
"MIR210","5. negative regulation of cellular process"
"MIR214","5. negative regulation of cellular process"
"MIR217","5. negative regulation of cellular process"
"MIR219A-1","5. negative regulation of cellular process"
"MIR219A-2","5. negative regulation of cellular process"
"MIR290A","5. negative regulation of cellular process"
"MIR292","5. negative regulation of cellular process"
"MIR293","5. negative regulation of cellular process"
"MIR294","5. negative regulation of cellular process"
"MIR295","5. negative regulation of cellular process"
"MIR338","5. negative regulation of cellular process"
"MIR363","5. negative regulation of cellular process"
"MIR448","5. negative regulation of cellular process"
"MIR466L","5. negative regulation of cellular process"
"MOV10","5. negative regulation of cellular process"
"MOV10L1","5. negative regulation of cellular process"
"MPHOSPH8","5. negative regulation of cellular process"
"MPHOSPH10","5. negative regulation of cellular process"
"MPIG6B","5. negative regulation of cellular process"
"MPL","5. negative regulation of cellular process"
"MPRIP","5. negative regulation of cellular process"
"MPV17L","5. negative regulation of cellular process"
"MPZ","5. negative regulation of cellular process"
"MRAP","5. negative regulation of cellular process"
"MRAP2","5. negative regulation of cellular process"
"MRE11A","5. negative regulation of cellular process"
"MRNIP","5. negative regulation of cellular process"
"MRPL13","5. negative regulation of cellular process"
"MRTFA","5. negative regulation of cellular process"
"MS4A2","5. negative regulation of cellular process"
"MSC","5. negative regulation of cellular process"
"MSH2","5. negative regulation of cellular process"
"MSH3","5. negative regulation of cellular process"
"MSH6","5. negative regulation of cellular process"
"MSL3","5. negative regulation of cellular process"
"MSL3L2","5. negative regulation of cellular process"
"MST1","5. negative regulation of cellular process"
"MSTN","5. negative regulation of cellular process"
"MSX1","5. negative regulation of cellular process"
"MSX2","5. negative regulation of cellular process"
"MSX3","5. negative regulation of cellular process"
"MT1","5. negative regulation of cellular process"
"MT3","5. negative regulation of cellular process"
"MTA1","5. negative regulation of cellular process"
"MTA2","5. negative regulation of cellular process"
"MTA3","5. negative regulation of cellular process"
"MTBP","5. negative regulation of cellular process"
"MTCH2","5. negative regulation of cellular process"
"MTDH","5. negative regulation of cellular process"
"MTERF3","5. negative regulation of cellular process"
"MTF1","5. negative regulation of cellular process"
"MTF2","5. negative regulation of cellular process"
"MTM1","5. negative regulation of cellular process"
"MTMR2","5. negative regulation of cellular process"
"MTMR9","5. negative regulation of cellular process"
"MTNR1A","5. negative regulation of cellular process"
"MTNR1B","5. negative regulation of cellular process"
"MTOR","5. negative regulation of cellular process"
"MTPN","5. negative regulation of cellular process"
"MTSS1","5. negative regulation of cellular process"
"MUC2","5. negative regulation of cellular process"
"MUC4","5. negative regulation of cellular process"
"MUC16","5. negative regulation of cellular process"
"MUG1","5. negative regulation of cellular process"
"MUG2","5. negative regulation of cellular process"
"MUL1","5. negative regulation of cellular process"
"MUP1","5. negative regulation of cellular process"
"MUS81","5. negative regulation of cellular process"
"MVK","5. negative regulation of cellular process"
"MVP","5. negative regulation of cellular process"
"MXD1","5. negative regulation of cellular process"
"MXD3","5. negative regulation of cellular process"
"MXD4","5. negative regulation of cellular process"
"MXI1","5. negative regulation of cellular process"
"MYADM","5. negative regulation of cellular process"
"MYB","5. negative regulation of cellular process"
"MYBBP1A","5. negative regulation of cellular process"
"MYBL1","5. negative regulation of cellular process"
"MYC","5. negative regulation of cellular process"
"MYCN","5. negative regulation of cellular process"
"MYD88","5. negative regulation of cellular process"
"NANOG","5. negative regulation of cellular process"
"NKX6-2","5. negative regulation of cellular process"
"NKX6-3","5. negative regulation of cellular process"
"NLE1","5. negative regulation of cellular process"
"NLGN1","5. negative regulation of cellular process"
"NLGN3","5. negative regulation of cellular process"
"NLK","5. negative regulation of cellular process"
"NLRC3","5. negative regulation of cellular process"
"NLRC5","5. negative regulation of cellular process"
"NLRP3","5. negative regulation of cellular process"
"NLRP6","5. negative regulation of cellular process"
"NLRP12","5. negative regulation of cellular process"
"NLRX1","5. negative regulation of cellular process"
"NMB","5. negative regulation of cellular process"
"NME1","5. negative regulation of cellular process"
"NME2","5. negative regulation of cellular process"
"NME5","5. negative regulation of cellular process"
"NME6","5. negative regulation of cellular process"
"NMI","5. negative regulation of cellular process"
"NMNAT1","5. negative regulation of cellular process"
"NMRK2","5. negative regulation of cellular process"
"NOC2L","5. negative regulation of cellular process"
"NOCT","5. negative regulation of cellular process"
"NOD2","5. negative regulation of cellular process"
"NODAL","5. negative regulation of cellular process"
"NOG","5. negative regulation of cellular process"
"NOL3","5. negative regulation of cellular process"
"NONO","5. negative regulation of cellular process"
"NOP53","5. negative regulation of cellular process"
"NOS1","5. negative regulation of cellular process"
"NOS1AP","5. negative regulation of cellular process"
"NOS3","5. negative regulation of cellular process"
"NOSTRIN","5. negative regulation of cellular process"
"NOTCH1","5. negative regulation of cellular process"
"NOTCH2","5. negative regulation of cellular process"
"NOTCH3","5. negative regulation of cellular process"
"NOTCH4","5. negative regulation of cellular process"
"NOTUM","5. negative regulation of cellular process"
"NOX4","5. negative regulation of cellular process"
"NPAS1","5. negative regulation of cellular process"
"NPAS2","5. negative regulation of cellular process"
"NPC1","5. negative regulation of cellular process"
"NPFF","5. negative regulation of cellular process"
"NPHP3","5. negative regulation of cellular process"
"NPHP4","5. negative regulation of cellular process"
"NPLOC4","5. negative regulation of cellular process"
"NPM1","5. negative regulation of cellular process"
"NPPA","5. negative regulation of cellular process"
"NPPB","5. negative regulation of cellular process"
"NPPC","5. negative regulation of cellular process"
"NPR1","5. negative regulation of cellular process"
"NPR2","5. negative regulation of cellular process"
"NPR3","5. negative regulation of cellular process"
"NPRL2","5. negative regulation of cellular process"
"NPRL3","5. negative regulation of cellular process"
"NPSR1","5. negative regulation of cellular process"
"NPVF","5. negative regulation of cellular process"
"NPY1R","5. negative regulation of cellular process"
"NPY2R","5. negative regulation of cellular process"
"NPY5R","5. negative regulation of cellular process"
"NQO1","5. negative regulation of cellular process"
"NR","5. negative regulation of cellular process"
"NR0B1","5. negative regulation of cellular process"
"NR0B2","5. negative regulation of cellular process"
"NR1D1","5. negative regulation of cellular process"
"NR1D2","5. negative regulation of cellular process"
"NR1H2","5. negative regulation of cellular process"
"NR1H3","5. negative regulation of cellular process"
"NR1H4","5. negative regulation of cellular process"
"NR1H5","5. negative regulation of cellular process"
"NR1I2","5. negative regulation of cellular process"
"NR1I3","5. negative regulation of cellular process"
"NR2C1","5. negative regulation of cellular process"
"NR2E1","5. negative regulation of cellular process"
"NR2E3","5. negative regulation of cellular process"
"NR2F1","5. negative regulation of cellular process"
"NR2F2","5. negative regulation of cellular process"
"NR2F6","5. negative regulation of cellular process"
"NR3C1","5. negative regulation of cellular process"
"NR4A1","5. negative regulation of cellular process"
"NR4A2","5. negative regulation of cellular process"
"NR4A3","5. negative regulation of cellular process"
"NR6A1","5. negative regulation of cellular process"
"NRARP","5. negative regulation of cellular process"
"NRBP2","5. negative regulation of cellular process"
"NRDE2","5. negative regulation of cellular process"
"NRG1","5. negative regulation of cellular process"
"NRG3","5. negative regulation of cellular process"
"NRIP1","5. negative regulation of cellular process"
"NRIP2","5. negative regulation of cellular process"
"NRK","5. negative regulation of cellular process"
"NRON","5. negative regulation of cellular process"
"NRP1","5. negative regulation of cellular process"
"NRROS","5. negative regulation of cellular process"
"NRXN1","5. negative regulation of cellular process"
"NSD1","5. negative regulation of cellular process"
"NSD2","5. negative regulation of cellular process"
"NSD3","5. negative regulation of cellular process"
"NSUN2","5. negative regulation of cellular process"
"NTF3","5. negative regulation of cellular process"
"NTF5","5. negative regulation of cellular process"
"NTM","5. negative regulation of cellular process"
"NTN1","5. negative regulation of cellular process"
"NTRK1","5. negative regulation of cellular process"
"NTRK2","5. negative regulation of cellular process"
"NTRK3","5. negative regulation of cellular process"
"NTSR1","5. negative regulation of cellular process"
"NUAK2","5. negative regulation of cellular process"
"NUBP1","5. negative regulation of cellular process"
"NUCB2","5. negative regulation of cellular process"
"NUDT6","5. negative regulation of cellular process"
"NUDT16L1","5. negative regulation of cellular process"
"NUGGC","5. negative regulation of cellular process"
"NUMB","5. negative regulation of cellular process"
"NUP62","5. negative regulation of cellular process"
"NUPR1","5. negative regulation of cellular process"
"NUPR1L","5. negative regulation of cellular process"
"NXN","5. negative regulation of cellular process"
"OBOX4","5. negative regulation of cellular process"
"OCLN","5. negative regulation of cellular process"
"ODF2L","5. negative regulation of cellular process"
"OFD1","5. negative regulation of cellular process"
"OGA","5. negative regulation of cellular process"
"OGG1","5. negative regulation of cellular process"
"OGT","5. negative regulation of cellular process"
"OIT1","5. negative regulation of cellular process"
"OLFM1","5. negative regulation of cellular process"
"OLFM4","5. negative regulation of cellular process"
"OLFR150","5. negative regulation of cellular process"
"OLFR275","5. negative regulation of cellular process"
"OLFR683","5. negative regulation of cellular process"
"OLFR684","5. negative regulation of cellular process"
"OLFR919","5. negative regulation of cellular process"
"OLFR1101","5. negative regulation of cellular process"
"OLIG2","5. negative regulation of cellular process"
"OLIG3","5. negative regulation of cellular process"
"OMA1","5. negative regulation of cellular process"
"ONECUT1","5. negative regulation of cellular process"
"ONECUT2","5. negative regulation of cellular process"
"OOG2","5. negative regulation of cellular process"
"OOG3","5. negative regulation of cellular process"
"OPA1","5. negative regulation of cellular process"
"OPHN1","5. negative regulation of cellular process"
"OPRD1","5. negative regulation of cellular process"
"OPRK1","5. negative regulation of cellular process"
"OPRL1","5. negative regulation of cellular process"
"OPRM1","5. negative regulation of cellular process"
"OPTN","5. negative regulation of cellular process"
"ORC1","5. negative regulation of cellular process"
"ORC6","5. negative regulation of cellular process"
"ORMDL1","5. negative regulation of cellular process"
"ORMDL2","5. negative regulation of cellular process"
"ORMDL3","5. negative regulation of cellular process"
"OS9","5. negative regulation of cellular process"
"OSBPL8","5. negative regulation of cellular process"
"OSGIN1","5. negative regulation of cellular process"
"OSGIN2","5. negative regulation of cellular process"
"OSM","5. negative regulation of cellular process"
"OSR1","5. negative regulation of cellular process"
"OSR2","5. negative regulation of cellular process"
"OSTN","5. negative regulation of cellular process"
"OTOP1","5. negative regulation of cellular process"
"OTUD3","5. negative regulation of cellular process"
"OTUD4","5. negative regulation of cellular process"
"OTUD5","5. negative regulation of cellular process"
"OTUD6B","5. negative regulation of cellular process"
"OTUD7A","5. negative regulation of cellular process"
"OTUD7B","5. negative regulation of cellular process"
"OVGP1","5. negative regulation of cellular process"
"OVOL1","5. negative regulation of cellular process"
"OVOL2","5. negative regulation of cellular process"
"OVOL3","5. negative regulation of cellular process"
"OXR1","5. negative regulation of cellular process"
"P2RX7","5. negative regulation of cellular process"
"P2RY1","5. negative regulation of cellular process"
"P2RY6","5. negative regulation of cellular process"
"P2RY12","5. negative regulation of cellular process"
"P3H1","5. negative regulation of cellular process"
"P3H2","5. negative regulation of cellular process"
"P3H3","5. negative regulation of cellular process"
"PA2G4","5. negative regulation of cellular process"
"PABPC1","5. negative regulation of cellular process"
"PACRG","5. negative regulation of cellular process"
"PACSIN1","5. negative regulation of cellular process"
"PACSIN2","5. negative regulation of cellular process"
"PACSIN3","5. negative regulation of cellular process"
"PADI2","5. negative regulation of cellular process"
"PAF1","5. negative regulation of cellular process"
"PAFAH1B1","5. negative regulation of cellular process"
"PAFAH2","5. negative regulation of cellular process"
"PAG1","5. negative regulation of cellular process"
"PAIP2","5. negative regulation of cellular process"
"PAIP2B","5. negative regulation of cellular process"
"PAK1","5. negative regulation of cellular process"
"PAK1IP1","5. negative regulation of cellular process"
"PAK2","5. negative regulation of cellular process"
"PAK4","5. negative regulation of cellular process"
"PAK7","5. negative regulation of cellular process"
"PALB2","5. negative regulation of cellular process"
"PALM","5. negative regulation of cellular process"
"PALM3","5. negative regulation of cellular process"
"PAM16","5. negative regulation of cellular process"
"PAPLN","5. negative regulation of cellular process"
"PAQR3","5. negative regulation of cellular process"
"PARD3","5. negative regulation of cellular process"
"PARD6A","5. negative regulation of cellular process"
"PARK7","5. negative regulation of cellular process"
"PARL","5. negative regulation of cellular process"
"PARN","5. negative regulation of cellular process"
"PARP1","5. negative regulation of cellular process"
"PARP2","5. negative regulation of cellular process"
"PARP3","5. negative regulation of cellular process"
"PARP9","5. negative regulation of cellular process"
"PARP10","5. negative regulation of cellular process"
"PARP14","5. negative regulation of cellular process"
"PARP16","5. negative regulation of cellular process"
"PARPBP","5. negative regulation of cellular process"
"PASK","5. negative regulation of cellular process"
"PATL1","5. negative regulation of cellular process"
"PATL2","5. negative regulation of cellular process"
"PATZ1","5. negative regulation of cellular process"
"PAWR","5. negative regulation of cellular process"
"PAX2","5. negative regulation of cellular process"
"PAX3","5. negative regulation of cellular process"
"PAX4","5. negative regulation of cellular process"
"PAX5","5. negative regulation of cellular process"
"PAX6","5. negative regulation of cellular process"
"PAX8","5. negative regulation of cellular process"
"PAX9","5. negative regulation of cellular process"
"PAXBP1","5. negative regulation of cellular process"
"PBK","5. negative regulation of cellular process"
"PBLD1","5. negative regulation of cellular process"
"PBP2","5. negative regulation of cellular process"
"PBRM1","5. negative regulation of cellular process"
"PBX1","5. negative regulation of cellular process"
"PBXIP1","5. negative regulation of cellular process"
"PCBP3","5. negative regulation of cellular process"
"PCBP4","5. negative regulation of cellular process"
"PCDH11X","5. negative regulation of cellular process"
"PCDH17","5. negative regulation of cellular process"
"PCGF1","5. negative regulation of cellular process"
"PCGF2","5. negative regulation of cellular process"
"PCGF6","5. negative regulation of cellular process"
"PCID2","5. negative regulation of cellular process"
"PCIF1","5. negative regulation of cellular process"
"PCM1","5. negative regulation of cellular process"
"PCMT1","5. negative regulation of cellular process"
"PCNA","5. negative regulation of cellular process"
"PCNT","5. negative regulation of cellular process"
"PCP4","5. negative regulation of cellular process"
"PCSK1N","5. negative regulation of cellular process"
"PCSK9","5. negative regulation of cellular process"
"PDCD1","5. negative regulation of cellular process"
"PDCD1LG2","5. negative regulation of cellular process"
"PDCD4","5. negative regulation of cellular process"
"PDCD5","5. negative regulation of cellular process"
"PDCD6","5. negative regulation of cellular process"
"PDCD10","5. negative regulation of cellular process"
"PDCL","5. negative regulation of cellular process"
"PDCL3","5. negative regulation of cellular process"
"PDE1C","5. negative regulation of cellular process"
"PDE2A","5. negative regulation of cellular process"
"PDE3A","5. negative regulation of cellular process"
"PDE3B","5. negative regulation of cellular process"
"PDE4B","5. negative regulation of cellular process"
"PDE4C","5. negative regulation of cellular process"
"PDE4D","5. negative regulation of cellular process"
"PDE5A","5. negative regulation of cellular process"
"PDE8A","5. negative regulation of cellular process"
"PDE8B","5. negative regulation of cellular process"
"PDE10A","5. negative regulation of cellular process"
"PDE11A","5. negative regulation of cellular process"
"PDE12","5. negative regulation of cellular process"
"PDGFA","5. negative regulation of cellular process"
"PDGFB","5. negative regulation of cellular process"
"PDGFRA","5. negative regulation of cellular process"
"PDGFRB","5. negative regulation of cellular process"
"PDIA6","5. negative regulation of cellular process"
"PDK4","5. negative regulation of cellular process"
"PDPK1","5. negative regulation of cellular process"
"PDPN","5. negative regulation of cellular process"
"PDS5A","5. negative regulation of cellular process"
"PDS5B","5. negative regulation of cellular process"
"PDX1","5. negative regulation of cellular process"
"PDXK","5. negative regulation of cellular process"
"PDZD3","5. negative regulation of cellular process"
"PEA15A","5. negative regulation of cellular process"
"PEA15B","5. negative regulation of cellular process"
"PEAR1","5. negative regulation of cellular process"
"PEBP1","5. negative regulation of cellular process"
"PECAM1","5. negative regulation of cellular process"
"PEG3","5. negative regulation of cellular process"
"PEG10","5. negative regulation of cellular process"
"PELI1","5. negative regulation of cellular process"
"PELI3","5. negative regulation of cellular process"
"PEMT","5. negative regulation of cellular process"
"PER1","5. negative regulation of cellular process"
"PER2","5. negative regulation of cellular process"
"PER3","5. negative regulation of cellular process"
"PEX2","5. negative regulation of cellular process"
"PEX5","5. negative regulation of cellular process"
"PEX14","5. negative regulation of cellular process"
"PF4","5. negative regulation of cellular process"
"PFDN5","5. negative regulation of cellular process"
"PFKL","5. negative regulation of cellular process"
"PFN1","5. negative regulation of cellular process"
"PFN2","5. negative regulation of cellular process"
"PFN4","5. negative regulation of cellular process"
"PGLYRP1","5. negative regulation of cellular process"
"PGLYRP2","5. negative regulation of cellular process"
"PGLYRP3","5. negative regulation of cellular process"
"PGLYRP4","5. negative regulation of cellular process"
"PGP","5. negative regulation of cellular process"
"PGR","5. negative regulation of cellular process"
"PGRMC1","5. negative regulation of cellular process"
"PHACTR4","5. negative regulation of cellular process"
"PHB","5. negative regulation of cellular process"
"PHB2","5. negative regulation of cellular process"
"PHF1","5. negative regulation of cellular process"
"PHF2","5. negative regulation of cellular process"
"PHF6","5. negative regulation of cellular process"
"PHF8","5. negative regulation of cellular process"
"PHF10","5. negative regulation of cellular process"
"PHF12","5. negative regulation of cellular process"
"PHF14","5. negative regulation of cellular process"
"PHF19","5. negative regulation of cellular process"
"PHF21A","5. negative regulation of cellular process"
"PHF23","5. negative regulation of cellular process"
"PHIP","5. negative regulation of cellular process"
"PHLDA3","5. negative regulation of cellular process"
"PHLDB2","5. negative regulation of cellular process"
"PHLPP1","5. negative regulation of cellular process"
"PHOX2B","5. negative regulation of cellular process"
"PHPT1","5. negative regulation of cellular process"
"PI15","5. negative regulation of cellular process"
"PI16","5. negative regulation of cellular process"
"PIAS1","5. negative regulation of cellular process"
"PIAS2","5. negative regulation of cellular process"
"PIAS3","5. negative regulation of cellular process"
"PIAS4","5. negative regulation of cellular process"
"PIBF1","5. negative regulation of cellular process"
"PICALM","5. negative regulation of cellular process"
"PICK1","5. negative regulation of cellular process"
"PID1","5. negative regulation of cellular process"
"PIDD1","5. negative regulation of cellular process"
"PIF1","5. negative regulation of cellular process"
"PIH1D1","5. negative regulation of cellular process"
"PIK3AP1","5. negative regulation of cellular process"
"PIK3CA","5. negative regulation of cellular process"
"PIK3CG","5. negative regulation of cellular process"
"PIK3IP1","5. negative regulation of cellular process"
"PIK3R1","5. negative regulation of cellular process"
"PIK3R2","5. negative regulation of cellular process"
"PILRB1","5. negative regulation of cellular process"
"PIM1","5. negative regulation of cellular process"
"PIM2","5. negative regulation of cellular process"
"PIM3","5. negative regulation of cellular process"
"PIN1","5. negative regulation of cellular process"
"PINC","5. negative regulation of cellular process"
"PINK1","5. negative regulation of cellular process"
"PINX1","5. negative regulation of cellular process"
"PIP","5. negative regulation of cellular process"
"PIP5KL1","5. negative regulation of cellular process"
"PIRB","5. negative regulation of cellular process"
"PITX1","5. negative regulation of cellular process"
"PITX2","5. negative regulation of cellular process"
"PITX3","5. negative regulation of cellular process"
"PIWIL1","5. negative regulation of cellular process"
"PIWIL2","5. negative regulation of cellular process"
"PIWIL4","5. negative regulation of cellular process"
"PKD1","5. negative regulation of cellular process"
"PKD2","5. negative regulation of cellular process"
"PKDCC","5. negative regulation of cellular process"
"PKHD1","5. negative regulation of cellular process"
"PKIA","5. negative regulation of cellular process"
"PKIB","5. negative regulation of cellular process"
"PKIG","5. negative regulation of cellular process"
"PKMYT1","5. negative regulation of cellular process"
"PKN1","5. negative regulation of cellular process"
"PKP1","5. negative regulation of cellular process"
"PKP2","5. negative regulation of cellular process"
"PKP3","5. negative regulation of cellular process"
"PLA2G2A","5. negative regulation of cellular process"
"PLA2G2D","5. negative regulation of cellular process"
"PLA2G2E","5. negative regulation of cellular process"
"PLA2G2F","5. negative regulation of cellular process"
"PLA2G6","5. negative regulation of cellular process"
"PLAA","5. negative regulation of cellular process"
"PLAAT3","5. negative regulation of cellular process"
"PLAC8","5. negative regulation of cellular process"
"PLAT","5. negative regulation of cellular process"
"PLAUR","5. negative regulation of cellular process"
"PLCB1","5. negative regulation of cellular process"
"PLCB2","5. negative regulation of cellular process"
"PLCB3","5. negative regulation of cellular process"
"PLCB4","5. negative regulation of cellular process"
"PLCD1","5. negative regulation of cellular process"
"PLCD3","5. negative regulation of cellular process"
"PLCD4","5. negative regulation of cellular process"
"PLCE1","5. negative regulation of cellular process"
"PLCG1","5. negative regulation of cellular process"
"PLCG2","5. negative regulation of cellular process"
"PLCH1","5. negative regulation of cellular process"
"PLCH2","5. negative regulation of cellular process"
"PLCL1","5. negative regulation of cellular process"
"PLCL2","5. negative regulation of cellular process"
"PLCZ1","5. negative regulation of cellular process"
"PLD2","5. negative regulation of cellular process"
"PLEK","5. negative regulation of cellular process"
"PLEKHA1","5. negative regulation of cellular process"
"PLEKHH2","5. negative regulation of cellular process"
"PLEKHN1","5. negative regulation of cellular process"
"PLET1","5. negative regulation of cellular process"
"PLG","5. negative regulation of cellular process"
"PLIN5","5. negative regulation of cellular process"
"PLK1","5. negative regulation of cellular process"
"PLK2","5. negative regulation of cellular process"
"PLK3","5. negative regulation of cellular process"
"PLK5","5. negative regulation of cellular process"
"PLN","5. negative regulation of cellular process"
"PLPP3","5. negative regulation of cellular process"
"PLPP7","5. negative regulation of cellular process"
"PLXNA1","5. negative regulation of cellular process"
"PLXNA2","5. negative regulation of cellular process"
"PLXNA3","5. negative regulation of cellular process"
"PLXNA4","5. negative regulation of cellular process"
"PLXNB1","5. negative regulation of cellular process"
"PLXNB2","5. negative regulation of cellular process"
"PLXNB3","5. negative regulation of cellular process"
"PLXNC1","5. negative regulation of cellular process"
"PLXND1","5. negative regulation of cellular process"
"PM20D1","5. negative regulation of cellular process"
"PMAIP1","5. negative regulation of cellular process"
"PMCH","5. negative regulation of cellular process"
"PMEPA1","5. negative regulation of cellular process"
"PML","5. negative regulation of cellular process"
"PMP22","5. negative regulation of cellular process"
"PNKD","5. negative regulation of cellular process"
"PNKP","5. negative regulation of cellular process"
"PPP2R5B","5. negative regulation of cellular process"
"PPP2R5D","5. negative regulation of cellular process"
"PTBP1","5. negative regulation of cellular process"
"PTBP2","5. negative regulation of cellular process"
"PTBP3","5. negative regulation of cellular process"
"PTCH1","5. negative regulation of cellular process"
"PTCRA","5. negative regulation of cellular process"
"PTEN","5. negative regulation of cellular process"
"PTGDR2","5. negative regulation of cellular process"
"PTGDS","5. negative regulation of cellular process"
"PTGER3","5. negative regulation of cellular process"
"PTGER4","5. negative regulation of cellular process"
"PTGES","5. negative regulation of cellular process"
"PTGES3","5. negative regulation of cellular process"
"PTGFR","5. negative regulation of cellular process"
"PTGIR","5. negative regulation of cellular process"
